source_name,link,type,raw_download_available,variables_used,credibility,limitation,next_step
PEZA Agro-Industrial Economic Zones (22 operating + 6 proclaimed),https://www.peza.gov.ph/sites/default/files/3.xls,government list (Excel .xls),yes,"zone names, locations (barangay/municipality/province), region, developer/operator, land area (hectares), approved investments, corporate nationality, locator enterprises, PEZA Board approval dates, registration dates",Official Philippine Economic Zone Authority (PEZA) — government agency under Department of Trade and Industry,"No GPS coordinates; data as of November 2017; no sector/activity classification beyond agro-industrial; SSL certificate expired on peza.gov.ph (requires curl -k to download)","Geocode zone locations to municipality centroids using admin boundary data; cross-reference with Ravago et al. (2021) locatorid encoding for validation; check PEZA website for post-2017 updates"
PEZA Manufacturing Economic Zones (74),https://www.peza.gov.ph/sites/default/files/1.xls,government list (Excel .xls),yes,"zone names, locations (barangay/municipality/province), region, developer/operator, land area (hectares), approved investments (PHP millions), corporate nationality (ownership breakdown)",Official Philippine Economic Zone Authority (PEZA) — government agency under Department of Trade and Industry,"No GPS coordinates or polygon boundaries; data as of November 2017; no establishment year column; no sector/activity type beyond manufacturing; SSL certificate expired on peza.gov.ph (requires curl -k to download)","Geocode 74 zone locations to municipality centroids; source establishment years from Presidential Proclamations or PEZA annual reports; check for post-2017 zone additions via PEZA FOI request"
Wikipedia List of Special Economic Zones in the Philippines,https://en.wikipedia.org/wiki/List_of_special_economic_zones_in_the_Philippines,encyclopedia (HTML tables),no,"zone names, locations (city/municipality, province, region), area (hectares), operator/developer for agro-industrial (22) and freeport (11) zones; zone type counts for manufacturing (74), IT parks (262), tourism (19), medical tourism (2)","Community-edited but cross-references official PEZA data; individual entries cite government proclamations and PEZA records","No raw downloadable file; manufacturing zones listed only as a count (74) not individually; data may be outdated or incomplete; requires manual extraction from HTML tables; no coordinates","Extract HTML tables manually or via web scraping; cross-validate against PEZA Excel files (1.xls and 3.xls); use as supplementary source for freeport zone details not in PEZA files"
World Bank CIIP SEZ Database (filtered for Philippines — 47 zones),https://datacatalog.worldbank.org/search/dataset/0037742/special-economic-zones-sez,international organization (GeoJSON),yes,"zone names, GPS coordinates (lat/lon), zone type, operational date (establishment year), size (hectares), nearest port and distance (km), nearest airport and distance (km), nearest city (300k/500k/1M) and distance (km), management type, legal framework, corporate tax exemptions, import duty exemptions, VAT exemptions, export requirements, investment minimums, developer incentives, private participation type","World Bank Competitive Industries and Innovation Program (CIIP); compiled from official government sources across 51 countries; peer-reviewed methodology (World Bank 2017 report)","Global database filtered to 47 Philippine ECOzones; may not include all 74 PEZA manufacturing zones (coverage gap of ~27 zones); all typed as ECOzone without manufacturing/agro-industrial distinction; data vintage appears to be 2017; no polygon boundaries (point locations only)","Cross-reference 47 World Bank zones against 74 PEZA manufacturing zones to identify coverage gaps; use WB coordinates to geocode matching PEZA zones; use distance-to-port/airport/city variables directly in analysis_units.csv"
HDX Philippines 2015 Census Population by Barangay (PSA),https://data.humdata.org/dataset/philippines-2015-census-population-admin4-single-age,humanitarian data portal (CSV),yes,"population by single age (0-100+) and sex (male/female) at barangay level (admin4); 42029 barangays; PSGC codes for all 4 admin levels (region/adm1, province/adm2, municipality/adm3, barangay/adm4); 210 columns total","Philippine Statistics Authority (PSA) 2015 Census of Population; hosted on OCHA Humanitarian Data Exchange (HDX); official government census data","2015 census only (not 2020); requires latin-1 encoding to read; single-age columns (F0-F100, M0-M100) need aggregation for total population; no economic variables — population counts only; PSGC codes use PH prefix format not matching all other datasets","Aggregate age columns to compute total population per barangay/municipality; join to admin boundary shapefiles via PSGC codes (adm3_code for municipality level); can compute working-age population (15-64) for labor force analysis"
PSA 2024 Census Population Density by Region,https://psa.gov.ph/statistics/population-and-housing,government statistics (Excel),yes,"population by region (18 regions), land area (sq km), population density (persons per sq km); ranked by density; 2024 Census of Population; land areas from LMB 2019 Masterlist","Philippine Statistics Authority (PSA) — official national statistical agency; 2024 Census of Population (2024 POPCEN); land areas from Land Management Bureau (LMB)","Regional level only (18 regions) — not province or municipality level; manually downloaded single statistical table; no PSGC codes in file; does not break down by urban/rural or economic sector","Use as national/regional context for zone analysis; for municipality-level population use HDX 2015 barangay census or WorldPop raster instead; check PSA OpenStat or PSADA for municipality-level census tables"
"GHSL Global Human Settlement Layer R2023A (3 products, global files)",https://human-settlement.emergency.copernicus.eu/download.php,international agency raster (GeoTIFF),yes,"(1) GHS-BUILT-S E2020: built-up surface fraction (0-100%) per grid cell, 30 arcsec (~1km), EPSG:4326, 178MB. URL: jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_BUILT_S_GLOBE_R2023A/GHS_BUILT_S_E2020_GLOBE_R2023A_4326_30ss/V1-0/GHS_BUILT_S_E2020_GLOBE_R2023A_4326_30ss_V1_0.zip. (2) GHS-POP E2020: population count per grid cell, 30 arcsec (~1km), EPSG:4326, 460MB. URL: jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2020_GLOBE_R2023A_4326_30ss/V1-0/GHS_POP_E2020_GLOBE_R2023A_4326_30ss_V1_0.zip. (3) GHS-SMOD E2020: settlement model classification (urban centre/dense urban cluster/suburban/rural), 1000m, EPSG:54009 (Mollweide — needs reprojection), 28MB. URL: jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_SMOD_GLOBE_R2023A/GHS_SMOD_E2020_GLOBE_R2023A_54009_1000/V1-0/GHS_SMOD_E2020_GLOBE_R2023A_54009_1000_V1_0.zip. All global single-file downloads; clip to Philippines extent (116-127°E, 5-21°N) in R. Philippines tiles for 3ss (~100m) version: R3_C14, R3_C15, R3_C16, R4_C13, R4_C14, R4_C15, R5_C13, R5_C14, R5_C15.","European Commission Joint Research Centre (JRC) / Copernicus Emergency Management Service; open and free with attribution; R2023A is latest release","Global files downloaded — must clip to Philippines extent; 30 arcsec resolution (~1km) sufficient for municipality-level analysis but coarse for barangay; GHS-SMOD in Mollweide projection (EPSG:54009) requires reprojection to WGS84; epoch is 2020 only (multi-epoch 1975-2025 available but not downloaded); higher resolution (3ss/~100m) available as tiles but much larger (~3GB)","Clip all three rasters to Philippines bounding box in R using terra::crop(); reproject GHS-SMOD from EPSG:54009 to EPSG:4326; extract zonal statistics per municipality using exactextractr; for higher resolution analysis download 3ss tiles R3-R5 × C13-C16"
Philippines Administrative Boundaries GeoJSON (faeldon/philippines-json-maps),https://github.com/faeldon/philippines-json-maps,open-source GIS (GeoJSON / TopoJSON),yes,"municipality/city boundaries (admin3), province/district boundaries (admin2), regional boundaries (admin1), barangay boundaries (admin4); PSGC-coded; available in 3 resolutions (high/medium/low); years 2011, 2019, 2023; EPSG:32651 projection","Community-maintained GitHub repository based on official Philippine Standard Geographic Code (PSGC) data; 155 GitHub stars; updated September 2024; boundaries aligned with PSGC administrative divisions","Community-sourced — not official PSA/NAMRIA boundaries; EPSG:32651 (UTM Zone 51N) not WGS84 — needs reprojection for use with other datasets; may have minor boundary discrepancies vs official sources; some municipality name spellings may differ from PEZA/census data","Use 2023/geojson/municities/ for municipality-level spatial joins; reproject from EPSG:32651 to EPSG:4326 for consistency; join zone data via municipality name matching; use as base layer for analysis_units.csv construction"
OpenStreetMap Philippines Extract (Geofabrik Shapefiles),https://download.geofabrik.de/asia/philippines.html,crowdsourced GIS (Shapefile),yes,"16 shapefile layers: roads (highways/primary/secondary/tertiary), waterways (rivers/streams/canals), water bodies (lakes/reservoirs), railways, transport infrastructure (ports/ferry terminals), places (cities/towns), buildings, landuse (industrial/commercial/residential), natural features, protected areas, points of interest, traffic infrastructure. Key layers for distance calculations: gis_osm_roads_free_1, gis_osm_waterways_free_1, gis_osm_water_a_free_1, gis_osm_transport_free_1","OpenStreetMap community — globally recognized crowdsourced geographic database; Geofabrik is an established German company specializing in OSM data processing; ODbL 1.0 license; data updated daily","Crowdsourced — coverage varies by area (urban areas better mapped than rural); no official government validation; does not include port throughput/capacity data; no temporal versioning within the extract; 1.3 GB unzipped — too large for git","Use roads layer for distance-to-nearest-road calculations; waterways layer for distance-to-river; transport layer for ports; filter by road class (fclass column) for primary/secondary roads; load into ArcGIS Pro or R (sf::st_read) for spatial analysis"
"JRC Global Surface Water — Occurrence Layer (v1.4, 2021)",http://storage.googleapis.com/global-surface-water/downloads2021/occurrence/,international agency raster (GeoTIFF),yes,"water occurrence frequency (0-100%) per 30m pixel based on Landsat imagery 1984-2021; identifies permanent rivers, lakes, dams, reservoirs, and seasonal water bodies. 6 tiles downloaded covering Philippines: occurrence_110E_0N, occurrence_110E_10N, occurrence_110E_20N, occurrence_120E_0N, occurrence_120E_10N, occurrence_120E_20N (317MB total). EPSG:4326, 8-bit unsigned integer.","European Commission Joint Research Centre (JRC); Pekel et al. (2016) Nature; globally recognized water mapping dataset. Download script provided by JRC: downloadWaterData_PythonV3.py","Occurrence layer only — does not distinguish river vs lake vs reservoir; 30m resolution may be overkill for municipality-level analysis (aggregate via zonal stats); tiles cover broader SE Asia not just Philippines — clip to PH extent before analysis; URL uses HTTP not HTTPS (as per official JRC script)","R workflow: terra::rast() to load tiles → terra::merge() to mosaic → terra::crop() to Philippines extent → exactextractr::exact_extract() for municipality zonal stats. ArcGIS workflow: Add raster to map → Mosaic To New Raster (if combining tiles) → Extract by Mask (clip to PH boundary) → Zonal Statistics as Table. Also available in ArcGIS Living Atlas as 'World Surface Water' and 'World Distance to Water' layers."
